row.ID,row m/z,row retention time,smiles,NPC.pathway,NPC.superclass,NPC.class,ClassyFire.most.specific.class
2243,267.1698194,3.838477,COC1=C(C=C(C=C1)CC(=O)NCCCCN)OC,Alkaloids,Ornithine alkaloids,Polyamines,Amino acids and derivatives
2244,303.1070596,3.8458946,C=C1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,Carbohydrates,Saccharides,Disaccharides,Hexoses
2249,387.1256382,3.8789723,CC1(CC(C2(C1C(OC=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Iridoid O-glycosides
2255,279.1688991,3.8959832,C1=CC=C(C=C1)C(=O)NCC(=O)NCCCCCCO,Alkaloids,Ornithine alkaloids,Polyamines,N-acyl-alpha amino acids and derivatives
2264,208.071956,3.9067168,COC(=O)NC1=NC2=C(N1)C=C(C=C2)O,Alkaloids,Anthranilic acid alkaloids,Phenazine alkaloids,Carbamate esters
2265,177.0543108,3.9070733,CC1=CC(=O)OC2=C1C=CC(=C2)O,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Coumarins and derivatives
2272,279.1703431,3.9224446,CCOC(=O)C(CCCCN)NC(=O)C1=CC=CC=C1,Alkaloids,Ornithine alkaloids,Polyamines,Amino acids and derivatives
2274,397.1104836,3.9257035,C1C=C(C2C1C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)O)CO,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Iridoid O-glycosides
2278,165.0542729,3.933875,C1=CC(=CC=C1C=CC(=O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids
2281,267.1704648,3.9373667,COC1=C(C=CC(=C1)CCC(=O)NCCCCN)O,Alkaloids,Ornithine alkaloids,Polyamines,Amino acids and derivatives
2283,231.1702861,3.9397333,CC(C)CC(C(=O)NC(C(C)C)C(=O)O)N,Amino acids and Peptides,Small peptides,Dipeptides,Dipeptides
2286,360.1491006,3.958,C(C1C(C(C(C(O1)OC(CO)C(C(C(C=O)O)O)O)O)O)O)O,Carbohydrates,Saccharides,Disaccharides,Alkyl glycosides
2292,279.1451755,3.9749,C1=CC=C(C=C1)C(=O)NC(CCCN=C(N)N)C(=O)O,Amino acids and Peptides,Small peptides,Dipeptides,N-acyl-alpha amino acids
2296,387.1257441,3.9799232,CC1(CC(C2(C1C(OC=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Iridoid O-glycosides
2305,177.0543857,3.9860945,COC1=C(C=C(C=C1)C=CC(=O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
2306,165.0544201,3.9866,C1=CC(=CC=C1C=CC(=O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids
2309,379.0629525,3.9902349,C1=CC(=CC=C1C=CC(=O)OC(C(C(C(C(=O)O)O)O)O)C(=O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acid esters
2312,147.0438998,3.9993825,C1=CC(=CC=C1C=C=C=O)O,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Xanthones
2319,313.0917756,4.0116334,C1C(C(C(CC1(C(=O)O)O)OC(=O)C2=CC=C(C=C2)O)O)O,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids,Quinic acids and derivatives
2324,305.0263175,4.020309,C1=CC(=C(C=C1C=CC(=O)OC(C(=O)O)C(=O)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
2334,353.0840866,4.0341954,COC1=C(C=CC(=C1)C(=O)O)OC2C(C(C(C(O2)CO)O)O)O,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids,Hydrolyzable tannins
2337,300.159419,4.0386167,COC1=CC=C(C=C1)CCNC(=O)CC2=CC=C(C=C2)OC,Alkaloids,Tyrosine alkaloids,Phenylethylamines,Norbelladine-type amaryllidaceae alkaloids
2342,121.0648121,4.049367,CC1=CC=C(C=C1)C=O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,1-hydroxy-2-unsubstituted benzenoids
2344,387.1260385,4.0507255,CC1(CC(C2(C1C(OC=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Iridoid O-glycosides
2345,353.0823654,4.0554557,COC1=C(C=CC(=C1)C(=O)O)OC2C(C(C(C(O2)CO)O)O)O,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids,Phenolic glycosides
2349,322.1755118,4.0629554,CC(C)CC(C(=O)NC(C)C(=O)NO)NC(=O)C1=CC=CC=C1,Amino acids and Peptides,Small peptides,Tripeptides,Dipeptides
2353,265.1547987,4.0750666,COC1=C(C=CC(=C1)C=CC(=O)NCCCCN)O,Alkaloids,Ornithine alkaloids,Polyamines,Amino acids and derivatives
2356,332.2178671,4.0925665,CCC(C)C(C(=O)NC(C(C)O)C(=O)O)NC(=O)C(C(C)C)N,Amino acids and Peptides,Small peptides,Tripeptides,Oligopeptides
2359,381.078524,4.094625,CC(=O)NCC1=NC2=CC=CC=C2N1CC(=O)NCC3=CC=CS3,Carbohydrates,Nucleosides,Purine nucleos(t)ides,Purine nucleosides
2360,307.1682569,4.097365,CC(C)CC(C(=O)O)NCC1CCCN(C1)S(=O)(=O)C,Amino acids and Peptides,Small peptides,Dipeptides,Dipeptides
2365,305.0267453,4.1093416,C1=CC(=C(C=C1C=CC(=O)OC(C(=O)O)C(=O)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
2366,165.0544571,4.112056,C1=CC(=CC=C1C=CC(=O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids
2379,325.0901607,4.1445665,C1=CC(=C(C=C1C=CC(=O)OC2C(C(C(C(O2)CO)O)O)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
2386,341.0225187,4.1516833,CC(=O)NC(CSC1=CC=C(C=C1)S(=O)(=O)N)C(=O)O,Alkaloids,Nicotinic acid alkaloids,Phenylalanine-derived alkaloids,Aryl thiophosphates
2387,433.1015499,4.152954,CN(C(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(CO)(C(=O)O)N)O,Amino acids and Peptides,Small peptides,Dipeptides,Gamma-glutamyl peptides
2392,365.1048967,4.1572,C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O,Carbohydrates,Saccharides,Disaccharides,Disaccharides
2393,147.0439187,4.158132,C1=CC(=CC=C1C=CC(=O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids
2394,360.1491363,4.1587834,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,Carbohydrates,Saccharides,Disaccharides,Disaccharides
2414,181.0492471,4.1902833,C1=CC(=C(C=C1C=CC(=O)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
2415,319.0412686,4.1931314,C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acid esters
2421,236.1271367,4.20515,CCC(C(=O)O)NC(C)C(=O)C1=CC=CC=C1,Amino acids and Peptides,Small peptides,Aminoacids,Phenylalanine and derivatives
2426,321.0584484,4.2158623,C1=CC(=C(C=C1C=CC(=O)OCC(C(C(=O)O)O)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
2429,135.1011796,4.225479,CCOCCOCCO,Fatty acids,Fatty acyls,Fatty alcohols,Dialkyl ethers
2433,427.0753032,4.2283115,NA,Amino acids and Peptides,Amino acid glycosides,Glucosinolates,Alkylglucosinolates
2442,474.1729816,4.2377934,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,Alkaloids,Pseudoalkaloids,pteridine alkaloids,Tetrahydrofolic acids and derivatives
2445,474.1705785,4.2433667,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,Alkaloids,Small peptides,Dipeptides,Tetrahydropteroic acids and derivatives
2452,313.0921179,4.2515335,C1C(C(C(CC1(C(=O)O)O)OC(=O)C2=CC=C(C=C2)O)O)O,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids,Quinic acids and derivatives
2467,231.1694726,4.278742,CC(C)CC(C(=O)O)NC(=O)C(C(C)C)N,Amino acids and Peptides,Small peptides,Dipeptides,Dipeptides
2468,409.0726283,4.2791634,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])OC(=O)OC3COC4C3OCC4O[N+](=O)[O-],Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Alpha amino acids and derivatives
2470,379.0636761,4.2845497,C1=CC(=CC=C1C=CC(=O)OC(C(C(C(C(=O)O)O)O)O)C(=O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acid esters
2471,163.0388409,4.2857833,C1=CC(=CC2=C(C=C21)C(=O)O)O,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Coumarins and derivatives
2472,277.1661434,4.286542,C1=CC(=CC=C1C=CC(=O)NCCCCN=C(N)N)O,Amino acids and Peptides,Phenylpropanoids (C6-C3),Cinnamic acid amides,Coumaric acids and derivatives
2473,283.0782503,4.286733,NA,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
2474,277.1646138,4.287702,C1=CC(=CC=C1C=CC(=O)NCCCCN=C(N)N)O,Amino acids and Peptides,Phenylpropanoids (C6-C3),Cinnamic acid amides,Coumaric acids and derivatives
2478,387.0384421,4.29975,NA,Carbohydrates,Nucleosides,Pyrimidine nucleos(t)ides,Glycosyl compounds
2479,410.9944938,4.3003054,C1=CC(=C(C=C1C2=C(C(=C3C(=C4C(=O)C(=C3O2)OC(=O)C(=O)O4)O)O)O)O)O,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,Diarylthioethers
2480,365.1047982,4.301537,C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O,Carbohydrates,Saccharides,Disaccharides,Disaccharides
2481,166.0865542,4.3031335,CNCC(C1=CC(=C(C=C1)O)O)O,Alkaloids,Tyrosine alkaloids,Phenylethylamines,Catechols
2482,389.0124526,4.303372,NA,Carbohydrates,Aminosugars and aminoglycosides,Aminosugars,Monosaccharides
2487,147.0439845,4.3140793,C1=CC(=CC=C1C=CC(=O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids
2490,325.090036,4.323,C1=CC(=C(C=C1C=CC(=O)OC2C(C(C(C(O2)CO)O)O)O)O)O,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Coumarin glycosides
2494,367.0333045,4.325275,C1=CC=C(C(=C1)COC(=O)C=CC2=CC(=CC=C2)[N+](=O)[O-])[N+](=O)[O-],Alkaloids,Anthranilic acid alkaloids,Pyrroloquinoline alkaloids,Styrenes
2495,427.0754856,4.325904,NA,Amino acids and Peptides,Amino acid glycosides,Glucosinolates,Alkylglucosinolates
2500,136.0619344,4.3328223,C1=NC2=NC=NC(=C2N1)N,Alkaloids,Pseudoalkaloids,Purine alkaloids,6-aminopurines
2505,298.0970885,4.336917,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,Carbohydrates,Nucleosides,Purine nucleos(t)ides,5'-deoxy-5'-thionucleosides
2506,179.0702536,4.337738,COC(=O)C=CC1=CC=C(C=C1)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acid esters
2507,277.0314649,4.337846,CC1=C(C(=C2C(OC(=O)C2=C1OC)O)C(=O)O)O,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids,Benzoic acids and derivatives
2514,165.0546908,4.3476906,C1=CC(=CC=C1C=CC(=O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids
2516,341.024394,4.34879,C1C(O1)COP(=O)(OCC2CO2)OSC3=CC=CC=C3,Alkaloids,Pseudoalkaloids,pteridine alkaloids,Pteridines and derivatives
2521,169.0258956,4.353783,C1(=S)NN=C(N1N)NN,Alkaloids,Pseudoalkaloids,pteridine alkaloids,Triazoles
2523,235.1441069,4.357517,C1=CC(=CC=C1C=CC(=O)NCCCCN)O,Alkaloids,Ornithine alkaloids,Polyamines,Amino acids and derivatives
2525,319.0423218,4.35175,C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acid esters
2540,369.0280839,4.3780584,C(C(=O)OC(=O)C(C(C(=O)O)O)O)C(=O)OC(=O)C(C(C(=O)O)O)O,Carbohydrates,Saccharides,Disaccharides,Disaccharides
2547,474.171583,4.3880663,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,Alkaloids,Pseudoalkaloids,pteridine alkaloids,Tetrahydrofolic acids and derivatives
2548,277.1540703,4.394183,CC(=O)CCC(C(=O)N)NC(=O)CCC1=CC=CC=C1,Amino acids and Peptides,Small peptides,Dipeptides,N-acyl-alpha amino acids
2552,229.1542071,4.3986664,CC(C1CC1)C(=O)N2CCCC2C(=O)O,Amino acids and Peptides,Small peptides,Dipeptides,N-acyl-L-alpha-amino acids
2554,365.0845327,4.4077206,C1=CC(=C(C=C1C=CC(=O)O)OC2C(C(C(C(O2)CO)O)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Phenolic glycosides
2560,278.1691623,4.418325,NA,Amino acids and Peptides,Small peptides,Dipeptides,Alpha amino acids and derivatives
2561,231.1702675,4.4183717,CC(C)CC(C(=O)O)NC(=O)C(C(C)C)N,Amino acids and Peptides,Small peptides,Dipeptides,Dipeptides
2565,385.0737935,4.4248,CC(=O)OC1C(C(OC(C1OC(=O)C)OC(=O)C)C(=O)O)OC(=O)C,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids,Gallic acid and derivatives
2569,319.1346815,4.4340415,C=CCOC1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=CC=C3,Shikimates and Phenylpropanoids,Flavonoids,Chalcones,Benzene and substituted derivatives
2571,474.1733339,4.437411,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,Alkaloids,Pseudoalkaloids,pteridine alkaloids,Tetrahydrofolic acids and derivatives
2574,330.1171484,4.4463167,CC(=O)OCC(C(CC(C#N)OC(=O)C)OC(=O)C)OC(=O)C,Alkaloids,Anthranilic acid alkaloids,Simple phenolic acids,Benzoic acid esters
2575,265.1532399,4.4484,COC1=C(C=CC(=C1)C=CC(=O)NCCCCN)O,Alkaloids,Ornithine alkaloids,Polyamines,Amino acids and derivatives
2578,365.1044933,4.4525266,C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O,Carbohydrates,Saccharides,Disaccharides,Disaccharides
2579,305.0257584,4.455488,C1=CC(=C(C=C1C=CC(=O)OC(C(=O)O)C(=O)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
2580,279.1725203,4.4554996,NA,Alkaloids,Ornithine alkaloids,Polyamines,Guanidines
2581,439.2162363,4.4562,C1=CC(=CC=C1CC(C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)O)N)O,Amino acids and Peptides,Small peptides,Polyamines,N-acyl-alpha amino acids and derivatives
2585,277.1647634,4.4599314,C1=CC(=CC=C1C=CC(=O)NCCCCN=C(N)N)O,Amino acids and Peptides,Phenylpropanoids (C6-C3),Cinnamic acid amides,Coumaric acids and derivatives
2589,341.0245976,4.464407,C1=C2C(=CC(=C1N3C=C(N=C3)[N+](=O)[O-])[N+](=O)[O-])NC(=O)C(=O)N2,Alkaloids,Pseudoalkaloids,pteridine alkaloids,Nitrobenzenes
2595,617.0716786,4.4732914,C1=CC=C(C=C1)OP(=O)(O)OP(=O)(CC2C(C(C(O2)COP(=O)(OC3=CC=CC=C3)OC4=CC=CC=C4)O)O)O,Carbohydrates,Nucleosides,Anthraquinones and anthrones,Pyrimidine nucleotides
2597,157.0832707,4.47535,CN(C)OP(=O)(N)N,Amino acids and Peptides,Small peptides,Aminoacids,Organonitrogen compounds
2599,319.0423253,4.475881,C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acid esters
2601,394.2450592,4.47716,CC(C)(C)OC(=O)C(CCCN=C(N)N)NC(=O)C(CC1=CC=C(C=C1)O)N,Amino acids and Peptides,Ornithine alkaloids,Polyamines,N-acyl-alpha amino acids and derivatives
2606,278.1693162,4.484714,NA,Amino acids and Peptides,Small peptides,Dipeptides,Alpha amino acids and derivatives
2610,163.03871,4.4871697,C1=CC(=CC2=C(C=C21)C(=O)O)O,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Coumarins and derivatives
2613,277.1658279,4.489303,C1=CC(=CC=C1C=CC(=O)NCCCCN=C(N)N)O,Amino acids and Peptides,Phenylpropanoids (C6-C3),Cinnamic acid amides,Coumaric acids and derivatives
2614,535.15287,4.48945,C1=CN(C(=O)N=C1N)C2(C(C(C(O2)CO)O)O)N=NC3(C(C(C(O3)CO)O)O)N4C=CC(=NC4=O)N,Amino acids and Peptides,Small peptides,Tripeptides,Oligopeptides
2628,547.1633265,4.495438,CC(=O)OCC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC)O)O)O)OC(=O)C)OC(=O)C)OC(=O)C,Carbohydrates,Saccharides,Simple phenolic acids,Oligosaccharides
2629,399.125452,4.496045,CC1(CCC2C1C(OC=C2C(=O)O)OC3C(C(C(C(O3)CO)O)O)O)O,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Iridoid O-glycosides
2630,165.0547114,4.497252,C1=CC(=CC=C1C=CC(=O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids
2635,135.0438461,4.5001597,[CH]C1=CC=CC=C1C(=O)O,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Shikimic acids and derivatives,Benzaldehydes
2648,298.0967218,4.507678,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,Carbohydrates,Nucleosides,Purine nucleos(t)ides,5'-deoxy-5'-thionucleosides
2654,421.0871609,4.511571,CC1(C2C(OC=CC2(C(C1Cl)O)O)OC3C(C(C(C(O3)CO)O)O)O)O,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Hexoses
2656,321.0579048,4.51295,C1=CC(=C(C=C1C=CC(=O)OCC(C(C(=O)O)O)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
2659,195.0650615,4.515607,COC(=O)C=CC1=CC(=C(C=C1)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
2661,181.0494555,4.524029,C1=CC(=C(C=C1C=CC(=O)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
2662,208.0967664,4.5242753,CC(=O)NCCC1=CC2=C(C=C1)OCO2,Alkaloids,Phenylpropanoids (C6-C3),Cinnamic acid amides,Benzene and substituted derivatives
2666,361.0918668,4.5284967,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,Shikimates and Phenylpropanoids,Lignans,Neolignans,Cinnamic acids and derivatives
2670,213.0759038,4.5442886,COC1=CC(=CC(=C1O)OC)C(=O)OC,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids,Gallic acid and derivatives
2686,261.1431208,4.5575666,CC(C)CC(C(=O)O)NC(=O)CCC(C(=O)O)N,Amino acids and Peptides,Small peptides,Aminoacids,Alpha amino acids
2691,427.1193365,4.5615406,COC(=O)C1=COC(C(C1CC(=O)O)C=C)OC2C(C(C(C(O2)CO)O)O)O,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Iridoid O-glycosides
2692,361.0898546,4.5619946,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acid esters
2698,259.0802013,4.5675,CC(=O)OC1COC(=CC1OC(=O)C)C(=O)OC,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Shikimic acids and derivatives,Cyclitols and derivatives
2699,461.1246144,4.568023,CC1(C2C(OC=C(C2(C(C1O)O)O)C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)O,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Iridoid O-glycosides
2712,339.1063252,4.5822997,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC=C(C=C2)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Phenolic glycosides
2713,334.0896153,4.5835333,C1=CC(=CC=C1C(C#N)O)OC2C(C(C(C(O2)CO)O)O)O,Amino acids and Peptides,Amino acid glycosides,Cyanogenic glycosides,Cyanogenic glycosides
2716,135.0440081,4.585425,[CH]C1=CC(=CC=C1)C(=O)O,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Shikimic acids and derivatives,Benzaldehydes
2717,385.0738431,4.5857205,COC(=CC(=CC=O)C(=O)OC1C(C(C(C(O1)CO)O)O)O)C(=O)O,Shikimates and Phenylpropanoids,Phenylethanoids (C6-C2),Simple phenolic acids,Phenolic glycosides
2718,305.0265837,4.587368,C1=CC(=C(C=C1C=CC(=O)OC(C(=O)O)C(=O)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
2721,399.1261879,4.589541,CC1(CCC2C1C(OC=C2C(=O)O)OC3C(C(C(C(O3)CO)O)O)O)O,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Iridoid O-glycosides
2726,411.0970349,4.592,NA,Carbohydrates,Saccharides,Disaccharides,Glucuronic acid derivatives
2728,408.1276996,4.5940666,C1=CC(=CC=C1C=CC(=O)OC(=CCOC2C(C(C(C(O2)CO)O)O)O)C#N)O,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,Hexoses
2729,163.0388648,4.5958543,C1=CC2=C(C=C1O)C=C(O2)C=O,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Hydroxycoumarins
2730,199.0600273,4.595933,COC1=CC(=CC(=C1O)OC)C(=O)O,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids,Gallic acid and derivatives
2735,361.0882606,4.5988603,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC=C(C=C2)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acid esters
2738,361.0919323,4.5999236,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,Shikimates and Phenylpropanoids,Lignans,Neolignans,Coumaric acids and derivatives
2742,160.0504556,4.60165,C1=CN=CC2=NC(=CN=C21)C=O,Alkaloids,Anthranilic acid alkaloids,Quinazoline alkaloids,Benzimidazoles
2744,195.0651462,4.602618,COC(=O)C=CC1=CC(=C(C=C1)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
2756,439.217472,4.6085796,CC(C)CC(C(=O)NC(CO)C(=O)NCC(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)N,Amino acids and Peptides,Small peptides,Cinnamic acid amides,N-acyl-alpha amino acids and derivatives
2766,192.0761485,4.6112666,COC(=O)C1=CC2=C(C=C1)N=C(N2)N,Alkaloids,Anthranilic acid alkaloids,Phenazine alkaloids,Carbamate esters
2768,364.221036,4.61345,CCCCCCCNC(=O)CCC(=O)NNC(=O)C1=CC=C(C=C1)OC,Alkaloids,Ornithine alkaloids,Polyamines,Amino acids and derivatives
2772,138.0549127,4.617046,C[N+]1=CC=CC(=C1)C(=O)O,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,Pyridinecarboxylic acids and derivatives
2775,413.1417965,4.6174912,COC1=CC(=CC(=C1O)OC)CC(COC2C(C(C(C(O2)CO)O)O)O)O,Terpenoids,Monoterpenoids,Menthane monoterpenoids,Hexoses
2777,169.0495215,4.6186194,COC1=CC(=O)C(=CC1=O)OC,Polyketides,Cyclic polyketides,2-pyrone derivatives,Pyrans
2788,243.0858677,4.6302714,COC(=O)C1=COC(C2C1C(C=C2CO)O)O,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Iridoids and derivatives
2792,181.049334,4.6338415,C1=CC(=C(C=C1C=CC(=O)O)O)O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coumaric acids and derivatives
2793,369.115085,4.6339335,C1=COC(C2C1C(C=C2CO)O)OC3C(C(C(C(O3)CO)O)O)O,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Iridoid O-glycosides
2794,375.1278894,4.6343365,COC1=C(C=C(C(=C1)CCC(=O)O)OC2C(C(C(C(O2)CO)O)O)O)O,Polyketides,Phloroglucinols,Acyl phloroglucinols,Phenolic glycosides
2805,127.0387818,4.6441164,CC1=C(C(=O)C=CO1)O,Polyketides,Cyclic polyketides,4-pyrone derivatives,Phenols
2808,241.0701055,4.645747,COC1=C(C=C(C(=C1)C(=O)O)C(=O)OC)OC,Polyketides,Cyclic polyketides,Phthalide derivatives,Anisoles
2816,261.1447148,4.654333,CC(C)CC(C(=O)O)NC(=O)CCC(C(=O)O)N,Amino acids and Peptides,Small peptides,Dipeptides,Gamma-glutamyl amino acids
2820,427.1206243,4.6570873,COC(=O)C1=COC(C(C1CC(=O)O)C=C)OC2C(C(C(C(O2)CO)O)O)O,Terpenoids,Monoterpenoids,Iridoids monoterpenoids,Iridoid O-glycosides
2821,217.0492726,4.657321,CC1=CC(=O)OC2=C1C(=C(C(=C2)O)C(=O)C)O,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,7-hydroxycoumarins
2824,137.0595423,4.6580434,CC1=CC(=O)C(=CC1=O)C,Polyketides,Cyclic polyketides,Phthalide derivatives,Pyrans
